producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Quilmes LATA 473 cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,0,0,0,6.0,0,7.0,7.0,7.0,7.0,7.0,7.0,0,0,0,1.75,8.0,8.0,9.0,9.0,9.0,9.0,9.0,0,0,0,0,0,0,9.0,9.0,0,9.0,11.0,11.0,11.0,11.0,12.0,12.0,6.5,13.0,15.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0
Imperial monjita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,22.0,0,0,0,0,0,0,0,0,0,0
Miller descartable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imperial Rubia,0,0,0,0,0,0,0,0,1.5,1.5,0.875,1.75,1.75,1.75,0.875,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,6.0,0,6.0,0,0,13.0,4.333333333333333,13.0,13.0,6.5,13.0,0,0,17.0,17.0,17.0,5.666666666666667,8.5,8.5,9.5,19.0,19.0,0,21.0,10.5,10.5,10.5,7.0,13.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0,30.0,30.0,0
Quilmes Night 1lt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,5.5,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,24.5,25.0,25.0,0,25.0,0,7.5,20.0,10.0,20.0,20.0,0,15.0,30.0,0,0,0,0,0,0,0,0,0,0,0
Negra Modelo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quilmes Stout (Cerveza),0,0,0,0,0,0,0,2.0,4.0,4.25,4.25,2.25,4.75,4.75,5.0,5.0,5.0,5.0,5.0,5.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,3.25,6.5,0,3.75,3.75,7.5,7.5,4.0,4.0,4.0,4.0,9.0,9.0,4.5,9.0,9.0,5.0,10.0,10.0,10.0,5.75,11.5,11.5,12.5,12.5,12.5,6.25,6.25,3.125,6.5,14.0,14.0,14.0,15.0,8.0,16.0,16.0,16.0,8.0,18.0,18.0,18.0,9.0,20.0,20.0,11.5,21.0,10.5,10.5,23.0,11.5,12.5,12.5,25.0,25.0,25.0,27.0,13.5,28.0,14.0,0
Boris lata (francia),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,18.0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quilmes Historica,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warsteiner descartable (No Tiene),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0
"Lata OFERTA cord, bud, schn (No Tiene)",0,0,0,0,0,0,0,5.0,5.0,5.0,0,5.5,2.875,6.0,3.0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,17.0,0,0,0,0,20.0,0,0,0,0,20.0,20.0,0,0,30.0,0,0,0,0,0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,0
Iguana Descartable Summer (No Tiene),0,0,0,0,0,0,0,5.0,5.0,2.5,5.0,5.5,0,0,6.0,6.0,6.0,6.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7.0,3.5,7.0,7.0,8.0,0,8.0,8.0,10.0,10.0,5.0,10.0,11.5,2.3,11.5,11.5,11.5,13.0,13.0,13.0,6.5,7.5,5.0,12.0,14.5,7.25,8.0,16.0,16.0,5.333333333333333,17.0,8.5,17.0,8.5,19.0,6.333333333333333,19.0,20.0,20.0,6.666666666666667,22.0,22.0,22.0,11.0,25.0,25.0,12.5,25.0,0,27.0,14.0,0,30.0,15.0,30.0,30.0,33.0,33.0,33.0,35.0,35.0,0
Schneider (No Tiene),0,0,0,0,0,0,0,0,1.5,0,0,0,1.625,1.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,12.0,6.0,0,0,0,0,0,6.0,12.0,0,0,0,12.0,0,0,9.5,19.0,0,0,0,5.333333333333333,0,0,16.0,0,0,0,0,0,0,0,0,0,20.0,0,0,0
