producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Champagne Nieto Extrabrut Senetiner,0,0,0,0,0,0,0,24.0,0,0,24.0,24.0,12.0,25.0,25.0,28.0,28.0,28.0,0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,0,0,45.0,0,45.0,0,0,16.0,0,48.0,16.333333333333332,49.0,49.0,49.0,24.5,55.0,27.5,27.5,27.5,27.5,27.5,55.0,20.666666666666668,62.0,31.0,31.0,0,0,31.5,69.0,69.0,0,23.0,35.0,70.0,35.0,29.0,43.5,43.5,87.0,90.0,30.0,90.0,45.0,45.5,30.333333333333332,45.5,98.0,25.75,103.0,103.0,103.0,52.5,105.0,105.0,105.0,105.0,0,0
Santa Julia Chenin dce Natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,29.0,29.0,29.0,14.5,29.0,29.0,29.0,29.0,30.0,0,15.0,33.0,33.0,16.5,0,0,0,0,42.0,42.0,43.0,43.0,43.0,45.0,45.0,45.0,45.0,15.0,48.0,0,0,0,53.0,26.5,58.0,58.0,0,0
Colon Sauv blanc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,14.5,0,14.5,0,0,0,0,0,0,0,16.5,16.5,0,16.5,16.5,17.0,17.0,17.0,0,18.0,0,18.0,18.0,18.0,0,0,0,0,0,0,0,0,0,24.0,0,24.0,0,0,0,25.0,26.0,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,0,0
Luigi Bosca,0,0,0,0,0,0,0,0,0,0,0,13.0,0,13.0,14.0,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5555555555555554,0,32.0,0,32.0,0,32.0,0,0,0,32.0,0,0,0,0,0,158.0,0,0
Bodega Uno Tittarelli TORRONTES,0,0,0,0,0,0,0,9.5,0,0,0,0,9.5,0,0,9.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dada (2x $100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,37.0,35.0,35.0,35.0,39.0,19.5,19.5,42.0,38.0,40.0,43.0,43.0,45.0,45.0,22.5,45.0,45.0,22.5,22.5,45.0,47.0,48.0,48.0,24.0,50.0,50.0,50.0,50.0,26.0,0
Dilema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,30.0,30.0,30.0,30.0,32.0,32.0,33.0,33.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,38.0,40.0,40.0,40.0,0,0
Lopez Blanco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colon Malbec,0,0,0,0,0,0,0,9.5,9.5,9.5,9.5,9.5,0,0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,13.0,13.0,14.5,14.5,14.5,0,14.5,14.5,0,16.5,16.5,16.5,16.5,8.25,16.5,16.5,8.25,0,16.5,17.0,8.5,9.0,18.0,18.0,18.0,18.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,22.0,11.0,22.0,24.0,24.0,24.0,24.0,24.0,12.0,26.0,13.5,27.0,27.0,27.0,28.0,28.0,28.0,15.0,30.0,6.0,32.0,32.0,32.0,32.0,0,0
Trapiche Alaris,0,0,0,0,0,0,0,0,0,0,2.5,5.5,2.875,5.75,6.0,3.0,6.0,2.0,6.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,10.0,5.0,0,0,0,10.0,12.75,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,0,0,0,0,0,0,24.0,3.6666666666666665,22.0,12.25,24.5,24.5,26.5,26.5,29.0,29.0,29.0,15.0,30.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,36.0,36.0,36.0,36.0,38.0,40.0,40.0,0,0
