producto,id,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Mr Loco,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baggio 1lt,304,0,0,0,0,0,0,50.0,37.0,21.0,18.0,42.0,42.0,28.0,23.0,32.0,27.0,31.0,31.0,46.0,35.0,36.0,45.0,49.0,70.0,55.0,15.0,37.0,32.0,38.0,39.0,27.0,31.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,19.0,37.0,22.0,9.0,25.0,27.0,36.0,30.0,41.0,45.0,53.0,54.0,40.0,48.0,34.0,15.0,26.0,26.0,21.0,26.0,26.0,20.0,31.0,16.0,23.0,20.0,24.0,21.0,17.0,18.0,21.0,16.0,23.0,23.0,30.0,21.0,28.0,36.0,36.0,19.0,23.0,24.0,25.0,11.0,19.0,30.0,29.0,29.0,31.0,53.0,34.0,19.0,26.0,39.0,34.0,27.0,35.0,37.0,28.0,35.0,6.0,0
panda,399,0,0,0,0,0,0,447.0,431.0,394.0,388.0,344.0,408.0,407.0,209.0,289.0,288.0,311.0,328.0,321.0,305.0,243.0,244.0,261.0,271.0,313.0,170.0,296.0,288.0,332.0,271.0,323.0,317.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,102.0,106.0,134.0,88.0,136.0,103.0,136.0,115.0,155.0,94.0,84.0,76.0,108.0,137.0,160.0,98.0,88.0,82.0,132.0,193.0,132.0,138.0,21.0,12.0,43.0,47.0,23.0,17.0,0,3.0,27.0,0,0,1.0,9.0,1.0,0,11.0,29.0,7.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1.0,0,0
Amargo Monasterio 1500cc,402,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,14.0,16.0,8.0,16.0,11.0,10.0,12.0,10.0,11.0,6.0,11.0,16.0,6.0,14.0,13.0,17.0,12.0,17.0,8.0,12.0,9.0,13.0,19.0,9.0,13.0,20.0,26.0,20.0,23.0,15.0,18.0,22.0,14.0,15.0,20.0,13.0,13.0,19.0,7.0,3.0,9.0,8.0,5.0,3.0,6.0,10.0,11.0,0,0
Amargo Monasterio bidon 5 lts,404,0,0,0,0,0,0,27.0,37.0,39.0,41.0,39.0,42.0,62.0,31.0,37.0,32.0,40.0,31.0,25.0,25.0,35.0,34.0,42.0,39.0,42.0,32.0,32.0,26.0,28.0,27.0,27.0,32.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,28.0,22.0,19.0,15.0,29.0,17.0,21.0,14.0,16.0,14.0,20.0,20.0,0,0,0,0,0,1.0,0,0,2.0,7.0,5.0,7.0,11.0,11.0,14.0,10.0,11.0,8.0,8.0,12.0,5.0,9.0,8.0,10.0,12.0,11.0,13.0,16.0,13.0,10.0,7.0,8.0,8.0,10.0,7.0,15.0,9.0,8.0,11.0,10.0,14.0,15.0,14.0,14.0,8.0,14.0,8.0,14.0,4.0,0
Amargo terma 1250cc,406,0,0,0,0,0,0,4.0,12.0,10.0,17.0,26.0,35.0,19.0,23.0,24.0,21.0,21.0,19.0,16.0,17.0,21.0,28.0,26.0,18.0,20.0,5.0,33.0,24.0,27.0,19.0,15.0,20.0,6.0,0,0,0,0,0,0,2.0,0,0,0,0,0,5.0,32.0,42.0,38.0,13.0,19.0,14.0,20.0,16.0,15.0,21.0,21.0,33.0,45.0,42.0,35.0,11.0,32.0,26.0,22.0,19.0,15.0,10.0,18.0,15.0,31.0,42.0,38.0,30.0,41.0,31.0,35.0,28.0,35.0,48.0,43.0,43.0,78.0,92.0,81.0,41.0,39.0,37.0,38.0,42.0,46.0,51.0,40.0,42.0,37.0,50.0,47.0,25.0,51.0,46.0,25.0,37.0,37.0,32.0,40.0,41.0,4.0,0
Limonada Terma 3000cc,416,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,6.0,6.0,7.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,11.0,5.0,4.0,14.0,8.0,1.0,5.0,1.0,4.0,1.0,7.0,11.0,13.0,2.0,0
Gatorade bot 473 cc,470,0,0,0,0,0,0,10.0,7.0,4.0,11.0,6.0,18.0,15.0,11.0,12.0,9.0,12.0,8.0,15.0,8.0,9.0,20.0,31.0,15.0,35.0,16.0,24.0,26.0,14.0,12.0,33.0,22.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,42.0,40.0,27.0,12.0,22.0,17.0,2.0,5.0,8.0,19.0,20.0,35.0,27.0,20.0,22.0,6.0,24.0,30.0,11.0,23.0,15.0,20.0,7.0,15.0,24.0,25.0,15.0,16.0,16.0,7.0,14.0,14.0,7.0,11.0,13.0,19.0,10.0,23.0,45.0,25.0,15.0,8.0,10.0,5.0,17.0,23.0,9.0,17.0,11.0,7.0,24.0,13.0,9.0,11.0,9.0,14.0,9.0,21.0,19.0,11.0,1.0,0
Leviton y Leviton Cero (Damajuana),535,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,1.0,1.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,29.0,45.0,36.0,19.0,29.0,13.0,20.0,26.0,39.0,30.0,35.0,33.0,54.0,64.0,72.0,20.0,68.0,61.0,24.0,30.0,30.0,44.0,51.0,46.0,97.0,131.0,90.0,74.0,67.0,39.0,41.0,43.0,37.0,51.0,63.0,60.0,74.0,82.0,114.0,90.0,86.0,51.0,38.0,58.0,58.0,66.0,64.0,102.0,103.0,137.0,125.0,44.0,64.0,91.0,70.0,73.0,93.0,95.0,112.0,138.0,17.0,0
Ades 1lt,572,0,0,0,0,0,0,111.0,154.0,120.0,122.0,120.0,176.0,63.0,41.0,5.0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,2.0,5.0,14.0,8.0,10.0,4.0,0
Jugo Dink C polvo,599,0,0,0,0,0,0,143.0,135.0,155.0,202.0,188.0,174.0,151.0,103.0,101.0,55.0,26.0,41.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
