producto,id,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Gaseosa Talca 2250cc,289,0,0,0,0,0,0,203.0,190.0,397.0,352.0,442.0,452.0,295.0,274.0,241.0,250.0,246.0,229.0,267.0,187.0,165.0,337.0,271.0,302.0,237.0,155.0,371.0,337.0,272.0,187.0,258.0,307.0,78.0,0,0,0,0,0,0,10.0,0,0,0,0,0,60.0,262.0,361.0,372.0,174.0,303.0,172.0,193.0,133.0,172.0,152.0,123.0,188.0,153.0,43.0,14.0,0,5.0,0,2.0,0,24.0,0,0,0,0,24.0,22.0,26.0,38.0,11.0,13.0,8.0,11.0,14.0,8.0,14.0,8.0,13.0,33.0,16.0,17.0,14.0,11.0,15.0,22.0,17.0,16.0,29.0,30.0,41.0,53.0,24.0,51.0,51.0,34.0,34.0,13.0,22.0,29.0,12.0,3.0,0
Pritty Light 1500cc,290,0,0,0,0,0,0,52.0,70.0,87.0,90.0,111.0,129.0,96.0,64.0,90.0,78.0,85.0,76.0,63.0,97.0,75.0,73.0,100.0,96.0,91.0,49.0,67.0,43.0,42.0,37.0,25.0,43.0,20.0,0,0,0,0,0,0,1.0,0,0,0,0,0,5.0,77.0,90.0,87.0,44.0,84.0,80.0,73.0,50.0,38.0,52.0,44.0,66.0,82.0,66.0,64.0,22.0,52.0,18.0,46.0,31.0,33.0,39.0,17.0,27.0,33.0,21.0,19.0,36.0,13.0,13.0,16.0,7.0,10.0,6.0,8.0,13.0,12.0,21.0,6.0,10.0,4.0,2.0,3.0,1.0,1.0,0,2.0,0,0,1.0,0,1.0,0,0,0,0,0,1.0,3.0,0,0,0
Coca Zero 500 cc,332,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,1.0,0,0,2.0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,1.0,5.0,9.0,5.0,3.0,3.0,1.0,0,0,1.0,0,2.0,0,4.0,8.0,5.0,9.0,2.0,10.0,10.0,3.0,5.0,3.0,5.0,0,2.0,7.0,9.0,19.0,3.0,5.0,0,0,1.0,0,3.0,4.0,0,2.0,7.0,7.0,5.0,0,2.0,6.0,4.0,49.0,124.0,235.0,195.0,37.0,0
Manaos 3000cc,344,0,0,0,0,0,0,0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,3.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
coca 1000 ret vieja,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,21.0,13.0,0,0,1.0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coca 2500cc descartable,471,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,0,1.0,0,0,0,0,1.0,4.0,0,0,0,0,0,0,0,1.0,6.0,0,11.0,1.0,0,0,9.0,7.0,0,6.0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,33.0,119.0,185.0,99.0,43.0,0,0
Schweppes 1500cc,498,0,0,0,0,0,0,0,0,0,0,0,0,12.0,5.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,5.0,1.0,3.0,13.0,16.0,4.0,0,0,0,0,0,0,0,0,3.0,1.0,0,0,0,0,0,5.0,15.0,8.0,3.0,1.0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,2.0,45.0,24.0,4.0,7.0,0,10.0,1.0,6.0,26.0,16.0,18.0,15.0,6.0,0
Pritty 3000cc,502,0,0,0,0,0,0,3.0,0,0,6.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,7.0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1.0,0,0,0,1.0,5.0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,80.0,63.0,76.0,91.0,82.0,75.0,75.0,15.0,0
Paso de los toros pomelo,504,0,0,0,0,0,0,27.0,27.0,18.0,29.0,41.0,45.0,15.0,23.0,34.0,23.0,22.0,22.0,23.0,39.0,33.0,34.0,37.0,53.0,32.0,15.0,23.0,19.0,12.0,9.0,5.0,11.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,16.0,27.0,23.0,8.0,21.0,16.0,2.0,6.0,8.0,6.0,11.0,12.0,19.0,30.0,29.0,12.0,13.0,21.0,8.0,4.0,12.0,12.0,10.0,19.0,22.0,13.0,23.0,19.0,19.0,19.0,13.0,13.0,17.0,22.0,22.0,34.0,25.0,14.0,14.0,13.0,14.0,10.0,14.0,10.0,24.0,22.0,20.0,17.0,16.0,24.0,19.0,13.0,8.0,13.0,19.0,20.0,15.0,10.0,18.0,18.0,2.0,0
Coca Light 500cc desc,544,0,0,0,0,0,0,4.0,8.0,22.0,6.0,8.0,5.0,12.0,1.0,13.0,4.0,1.0,12.0,19.0,16.0,6.0,12.0,18.0,30.0,16.0,13.0,13.0,14.0,10.0,4.0,6.0,18.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,16.0,18.0,19.0,6.0,17.0,14.0,6.0,17.0,23.0,6.0,8.0,20.0,23.0,30.0,0,0,0,0,6.0,0,0,0,6.0,5.0,0,6.0,8.0,24.0,6.0,7.0,8.0,7.0,3.0,0,0,0,0,8.0,10.0,5.0,1.0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0
Doble Cola,551,0,0,0,0,0,0,5.0,22.0,19.0,14.0,17.0,14.0,17.0,9.0,34.0,34.0,24.0,26.0,33.0,23.0,10.0,28.0,19.0,43.0,50.0,11.0,19.0,23.0,26.0,35.0,24.0,17.0,1.0,0,0,0,0,0,0,1.0,0,0,0,0,0,2.0,43.0,51.0,31.0,21.0,50.0,41.0,53.0,50.0,40.0,59.0,50.0,51.0,67.0,63.0,47.0,37.0,92.0,83.0,51.0,64.0,85.0,147.0,106.0,81.0,131.0,99.0,88.0,61.0,57.0,76.0,38.0,54.0,47.0,68.0,49.0,57.0,75.0,106.0,61.0,38.0,38.0,43.0,62.0,43.0,47.0,32.0,27.0,33.0,25.0,24.0,23.0,11.0,31.0,49.0,34.0,15.0,18.0,39.0,18.0,29.0,3.0,0
Coca Light 1500CC desc,569,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,5.0,3.0,14.0,5.0,9.0,15.0,8.0,9.0,6.0,15.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,13.0,12.0,25.0,4.0,17.0,12.0,4.0,7.0,10.0,6.0,3.0,2.0,0,0,0,0,4.0,2.0,4.0,10.0,9.0,11.0,3.0,3.0,10.0,2.0,3.0,0,0,0,0,0,4.0,5.0,5.0,5.0,7.0,5.0,8.0,0,1.0,6.0,1.0,1.0,5.0,4.0,7.0,0,1.0,0,2.0,2.0,1.0,0,0,0,0,1.0,5.0,4.0,0,0
Seven h2 0h¡ 2240 cc,579,0,0,0,0,0,0,5.0,4.0,5.0,3.0,1.0,6.0,0,0,6.0,5.0,6.0,4.0,1.0,4.0,2.0,9.0,1.0,5.0,7.0,6.0,8.0,11.0,5.0,4.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,2.0,3.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,2.0,19.0,6.0,12.0,25.0,17.0,22.0,8.0,12.0,22.0,22.0,12.0,18.0,28.0,18.0,11.0,25.0,22.0,21.0,9.0,20.0,9.0,17.0,27.0,25.0,34.0,37.0,28.0,35.0,16.0,12.0,12.0,18.0,25.0,14.0,23.0,27.0,36.0,7.0,0
