producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Sta Eugenia borgoña (Damajuana),0,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,0,15.0,16.5,16.5,21.0,21.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,29.0,29.0,0,31.0,31.0,31.0,0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,16.5,35.0,35.0,35.0,35.0,35.0,17.5,36.0,36.0,36.0,36.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,46.0,46.0,50.0,25.0,50.0,25.0,25.0,50.0,50.0,25.0,25.0,50.0,25.0,50.0,50.0,0,52.0,52.0,52.0,0,52.0,27.5,27.5,0
Sta Eugenia malbec (Damajuana),0,0,0,0,0,0,0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,0,18.0,18.0,22.0,22.0,22.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,32.0,32.0,32.0,17.5,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0,39.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,0,42.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,53.0,53.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0,0,0,60.0,60.0,60.0,60.0,68.0,68.0,68.0,0
Sutter damajuana (Damajuana),0,0,0,0,0,0,0,0,0,0,0,17.5,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viñasd Riojanas Blanco damaj (Damajuana),0,0,0,0,0,0,0,17.0,0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,31.0,33.0,36.0,36.0,36.0,36.0,38.0,38.0,38.0,42.0,0,42.0,42.0,45.0,50.0,0,0,0,50.0,53.0,0,0,0,0,0,60.0,60.0,0,0,0,0,66.0,0,0,0,0,72.0,0,0,0,0,0,0,0
Viñasd Riojanas Tinto damaj (Damajuana),0,0,0,0,0,0,0,17.0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,21.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,36.0,36.0,36.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0,44.0,44.0,48.0,48.0,50.0,50.0,56.0,56.0,56.0,56.0,56.0,0,60.0,0,60.0,0,64.0,64.0,70.0,70.0,70.0,0,0,70.0,70.0,76.0,76.0,76.0,0,78.0,0,39.0,0,0
Domingo Hnos Fino Tto damaj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,0,0,0,0,0,0,0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,83.0,0,0,83.0,87.0,87.0,0,0,0,0,0,0,0,0,0,115.0,115.0,122.0,122.0,122.0,122.0,0,0
Viña Cruz Box 3l,0,0,0,0,0,0,0,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalik Malbec - Cabernet,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benedetti Blanco Seco y Dulce damaj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,21.0,0,0,0,0,0,0,0,0,0,30.0,30.0,0,0,0,0,0,0,0,0,33.0,0,33.0,0,33.0,33.0,42.0,0,0,0,0,0,42.0,43.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0
Senda del Marquez Tempranillo x 5l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
