producto,id,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Zumuva bco,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,6.0,0,0,2.0,2.0,1.0,14.0,19.0,8.0,5.0,4.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zumuva bco dce,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,21.0,16.0,32.0,56.0,33.0,33.0,45.0,33.0,42.0,41.0,36.0,42.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,52.0,64.0,23.0,21.0,24.0,30.0,38.0,39.0,19.0,27.0,30.0,10.0,17.0,33.0,30.0,4.0,14.0,21.0,33.0,41.0,40.0,32.0,17.0,26.0,26.0,51.0,24.0,21.0,9.0,20.0,29.0,34.0,33.0,48.0,31.0,47.0,35.0,50.0,12.0,25.0,31.0,21.0,18.0,11.0,20.0,29.0,20.0,27.0,42.0,56.0,29.0,9.0,0,9.0,3.0,2.0,2.0,11.0,6.0,8.0,1.0,0
Toro Blanco Dulce tetra (Damajuana),153,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,0,2.0,0,0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,0,0,0,10.0,12.0,2.0,8.0,0,0,2.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Ernesto tinto tetra,261,0,0,0,0,0,0,1.0,2.0,0,0,1.0,3.0,0,1.0,1.0,0,0,2.0,1.0,0,0,1.0,2.0,5.0,2.0,0,5.0,3.0,2.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0,3.0,1.0,0,0,0,0,0,0,0,54.0,56.0,38.0,67.0,101.0,116.0,27.0,0,18.0,31.0,45.0,48.0,46.0,84.0,37.0,27.0,39.0,46.0,32.0,32.0,25.0,10.0,23.0,29.0,36.0,47.0,50.0,51.0,48.0,45.0,37.0,45.0,46.0,39.0,72.0,63.0,64.0,56.0,38.0,38.0,39.0,44.0,38.0,47.0,42.0,54.0,38.0,2.0,0
Termidor Bonarda,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arriero Rosado,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar de Arenas tinto tetra,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uvita tinto,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordolino rosado,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vino Caupolican tto,691,0,0,0,0,0,0,0,1.0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vino Caupolican bco,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talacasto blanco dulce,735,0,0,0,0,0,0,0,0,0,14.0,5.0,18.0,9.0,10.0,9.0,11.0,14.0,15.0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toro Rosado,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,8.0,6.0,11.0,6.0,0,7.0,8.0,10.0,2.0,0,0,12.0,14.0,13.0,8.0,0,6.0,14.0,18.0,34.0,25.0,13.0,25.0,8.0,27.0,13.0,26.0,23.0,14.0,14.0,6.0,13.0,13.0,21.0,20.0,20.0,14.0,4.0,0,10.0,15.0,13.0,25.0,16.0,14.0,17.0,18.0,23.0,30.0,4.0,0
Don Ernesto blanco tetra (No Tiene),864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,16.0,83.0,71.0,26.0,54.0,55.0,48.0,34.0,42.0,34.0,43.0,40.0,36.0,73.0,53.0,18.0,40.0,48.0,45.0,32.0,37.0,21.0,31.0,25.0,19.0,24.0,20.0,15.0,13.0,3.0,10.0,7.0,5.0,6.0,3.0,13.0,10.0,15.0,19.0,11.0,11.0,4.0,6.0,1.0,13.0,2.0,5.0,4.0,1.0,2.0,9.0,4.0,6.0,2.0,2.0,0,4.0,8.0,7.0,3.0,0,0
